citation_key,title,year,identifier_type,identifier,resolution_url,http_status,metadata_title_match,status,notes
athanassopoulos1997potential,Dominance and Potential Optimality in Multiple Criteria Decision Analysis with Imprecise Information,1997,DOI,10.1057/palgrave.jors.2600345,https://doi.org/10.1057/palgrave.jors.2600345,200,True,PASS,Crossref title token coverage=1.000; year=1997
benavoli2016ranks,Should We Really Use Post-hoc Tests Based on Mean-ranks?,2016,publisher page,benavoli2016ranks,https://www.jmlr.org/papers/v17/benavoli16a.html,200,True,PASS,Official proceedings/journal/OpenReview page resolved.
benavoli2017bayesian,Time for a Change: A Tutorial for Comparing Multiple Classifiers through Bayesian Analysis,2017,publisher page,benavoli2017bayesian,https://www.jmlr.org/papers/v18/16-305.html,200,True,PASS,Official proceedings/journal/OpenReview page resolved.
blum2015ladder,The Ladder: A Reliable Leaderboard for Machine Learning Competitions,2015,publisher page,blum2015ladder,https://proceedings.mlr.press/v37/blum15.html,200,True,PASS,Official proceedings/journal/OpenReview page resolved.
chen2026incentives,Leaderboard Incentives: Model Rankings under Strategic Post-Training,2026,arXiv,2603.08371,https://arxiv.org/abs/2603.08371,200,True,PASS,Official arXiv identifier resolved; title manually cross-checked during literature audit.
dehghani2021lottery,The Benchmark Lottery,2021,publisher page,dehghani2021lottery,https://openreview.net/forum?id=5Str2l1vmr-,200,True,PASS,Official proceedings/journal/OpenReview page resolved.
demsar2006comparison,Statistical Comparisons of Classifiers over Multiple Data Sets,2006,publisher page,demsar2006comparison,https://www.jmlr.org/papers/v7/demsar06a.html,200,True,PASS,Official proceedings/journal/OpenReview page resolved.
doan2018weights,An Alternative Weight Sensitivity Analysis for PROMETHEE II Rankings,2018,DOI,10.1016/j.omega.2017.08.017,https://doi.org/10.1016/j.omega.2017.08.017,200,True,PASS,Crossref title token coverage=1.000; year=2018
erickson2026tabarena,TabArena: A Living Benchmark for Machine Learning on Tabular Data,2026,DOI,10.52202/085713-0519,https://doi.org/10.52202/085713-0519,200,True,PASS,Crossref title token coverage=1.000; year=2026
gordienko2026rig,How Hard Is It to Rig a Benchmark? A Social Choice Analysis of Leaderboard Robustness,2026,arXiv,2605.23628,https://arxiv.org/abs/2605.23628,200,True,PASS,Official arXiv identifier resolved; title manually cross-checked during literature audit.
greco2008ror,Ordinal Regression Revisited: Multiple Criteria Ranking Using a Set of Additive Value Functions,2008,DOI,10.1016/j.ejor.2007.08.013,https://doi.org/10.1016/j.ejor.2007.08.013,200,True,PASS,Crossref title token coverage=1.000; year=2008
gusev2026tasks,Benchmarking on Tasks That Matter: Dataset Selection for Preserving Model Rankings,2026,DOI,10.1145/3770855.3817569,https://doi.org/10.1145/3770855.3817569,200,True,PASS,Crossref title token coverage=1.000; year=2026
huang2026dropping,Dropping Just a Handful of Preferences Can Change Top Large Language Model Rankings,2026,publisher page,huang2026dropping,https://openreview.net/forum?id=jNiEMDsRgc,200,True,PASS,Official proceedings/journal/OpenReview page resolved.
huangfu2018highs,Parallelizing the Dual Revised Simplex Method,2018,DOI,10.1007/s12532-017-0130-5,https://doi.org/10.1007/s12532-017-0130-5,200,True,PASS,Crossref title token coverage=1.000; year=2018
jansen2023stochastic,Statistical Comparisons of Classifiers by Generalized Stochastic Dominance,2023,publisher page,jansen2023stochastic,https://www.jmlr.org/papers/v24/22-0902.html,200,True,PASS,Official proceedings/journal/OpenReview page resolved.
jung2026best,"Who Defines ``Best''? Towards Interactive, User-Defined Evaluation of LLM Leaderboards",2026,DOI,10.1145/3805689.3812353,https://doi.org/10.1145/3805689.3812353,200,True,PASS,Crossref title token coverage=1.000; year=2026
lahdelma1998smaa,SMAA---Stochastic Multiobjective Acceptability Analysis,1998,DOI,10.1016/S0377-2217(97)00163-X,https://doi.org/10.1016/S0377-2217(97)00163-X,200,True,PASS,Crossref title token coverage=1.000; year=1998
lahdelma2001smaa2,SMAA-2: Stochastic Multicriteria Acceptability Analysis for Group Decision Making,2001,DOI,10.1287/opre.49.3.444.11220,https://doi.org/10.1287/opre.49.3.444.11220,200,True,PASS,Crossref title token coverage=1.000; year=2001
longjohn2025uq,Statistical Uncertainty Quantification for Aggregate Performance Metrics in Machine Learning Benchmarks,2025,arXiv,2501.04234,https://arxiv.org/abs/2501.04234,200,True,PASS,Official arXiv identifier resolved; title manually cross-checked during literature audit.
mareschal1988weight,Weight Stability Intervals in Multicriteria Decision Aid,1988,DOI,10.1016/0377-2217(88)90254-8,https://doi.org/10.1016/0377-2217(88)90254-8,200,True,PASS,Crossref title token coverage=1.000; year=1988
neuhof2026ranks,Rank Intervals for Leaderboards: A Hierarchical Framework for Model Evaluation,2026,arXiv,2606.08679,https://arxiv.org/abs/2606.08679,200,True,PASS,Official arXiv identifier resolved; title manually cross-checked during literature audit.
oshea2026weight,Weight Stability Intervals for Multi-Criteria Decision Analysis Using the Weighted Sum Model,2026,DOI,10.1016/j.eswa.2025.128460,https://doi.org/10.1016/j.eswa.2025.128460,200,True,PASS,Crossref title token coverage=1.000; year=2026
oyarhoseini2026perturbation,A Unified Perturbation Framework for Analyzing Leaderboard Stability and Manipulation,2026,arXiv,2605.15761,https://arxiv.org/abs/2605.15761,200,True,PASS,Official arXiv identifier resolved; title manually cross-checked during literature audit.
patel2024conformal,Conformal Contextual Robust Optimization,2024,publisher page,patel2024conformal,https://proceedings.mlr.press/v238/patel24a.html,200,True,PASS,Official proceedings/journal/OpenReview page resolved.
purucker2026beyondiid,"Beyond IID: How General Are Tabular Foundation Models, Really?",2026,arXiv,2606.30410,https://arxiv.org/abs/2606.30410,200,True,PASS,Official arXiv identifier resolved; title manually cross-checked during literature audit.
triantaphyllou1997sensitivity,A Sensitivity Analysis Approach for Some Deterministic Multi-Criteria Decision-Making Methods,1997,DOI,10.1111/j.1540-5915.1997.tb01306.x,https://doi.org/10.1111/j.1540-5915.1997.tb01306.x,200,True,PASS,Crossref title token coverage=1.000; year=1997
virtanen2020scipy,SciPy 1.0: Fundamental Algorithms for Scientific Computing in Python,2020,DOI,10.1038/s41592-019-0686-2,https://doi.org/10.1038/s41592-019-0686-2,200,True,PASS,Crossref title token coverage=1.000; year=2020
wainer2023bt,A Bayesian Bradley--Terry Model to Compare Multiple ML Algorithms on Multiple Data Sets,2023,publisher page,wainer2023bt,https://www.jmlr.org/papers/v24/22-0907.html,200,True,PASS,Official proceedings/journal/OpenReview page resolved.
wei2000weightset,A Parameter Analysis Method for the Weight-Set to Satisfy Preference Orders of Alternatives in Additive Multi-Criteria Value Models,2000,DOI,10.1002/1099-1360(200009)9:5<181::AID-MCDA275>3.0.CO;2-B,https://doi.org/10.1002/1099-1360(200009)9:5<181::AID-MCDA275>3.0.CO;2-B,200,True,PASS,Crossref title token coverage=1.000; year=2000
zeng2026benchpress,You Don't Need to Run Every Eval,2026,arXiv,2606.24020,https://arxiv.org/abs/2606.24020,200,True,PASS,Official arXiv identifier resolved; title manually cross-checked during literature audit.
zhang2025redundancy,Redundancy Principles for MLLMs Benchmarks,2025,DOI,10.18653/v1/2025.acl-long.612,https://doi.org/10.18653/v1/2025.acl-long.612,200,True,PASS,Crossref title token coverage=1.000; year=2025
zhang2024tradeoffs,Inherent Trade-Offs between Diversity and Stability in Multi-Task Benchmarks,2024,publisher page,zhang2024tradeoffs,https://proceedings.mlr.press/v235/zhang24u.html,200,True,PASS,Official proceedings/journal/OpenReview page resolved.
alzahrani2024targets,When Benchmarks are Targets: Revealing the Sensitivity of Large Language Model Leaderboards,2024,DOI,10.18653/v1/2024.acl-long.744,https://doi.org/10.18653/v1/2024.acl-long.744,200,True,PASS,Crossref title token coverage=1.000; year=2024
