candidate,rival,lower_pairwise_exact,upper_pairwise_exact
LR (tuned + ensemble),RF (tuned + ensemble),0,0
LR (tuned + ensemble),XT (tuned + ensemble),0,0
LR (tuned + ensemble),CAT (tuned + ensemble),0,0
LR (tuned + ensemble),GBM (tuned + ensemble),0,0
LR (tuned + ensemble),XGB (tuned + ensemble),0,0
LR (tuned + ensemble),TA-REALMLP (tuned + ensemble),0,0
LR (tuned + ensemble),TA-TABM (tuned + ensemble),0,0
LR (tuned + ensemble),TA-TABDPT (default),0,0
LR (tuned + ensemble),TA-TABPFN-2.6 (default),0,0
LR (tuned + ensemble),TA-TABICLv2 (default),0,0
RF (tuned + ensemble),LR (tuned + ensemble),67/2698,49/1207
RF (tuned + ensemble),XT (tuned + ensemble),0,0
RF (tuned + ensemble),CAT (tuned + ensemble),0,0
RF (tuned + ensemble),GBM (tuned + ensemble),0,0
RF (tuned + ensemble),XGB (tuned + ensemble),0,0
RF (tuned + ensemble),TA-REALMLP (tuned + ensemble),0,0
RF (tuned + ensemble),TA-TABM (tuned + ensemble),0,0
RF (tuned + ensemble),TA-TABDPT (default),0,0
RF (tuned + ensemble),TA-TABPFN-2.6 (default),0,0
RF (tuned + ensemble),TA-TABICLv2 (default),0,0
XT (tuned + ensemble),LR (tuned + ensemble),155/1988,97/994
XT (tuned + ensemble),RF (tuned + ensemble),17/497,27/497
XT (tuned + ensemble),CAT (tuned + ensemble),0,0
XT (tuned + ensemble),GBM (tuned + ensemble),0,0
XT (tuned + ensemble),XGB (tuned + ensemble),0,0
XT (tuned + ensemble),TA-REALMLP (tuned + ensemble),0,0
XT (tuned + ensemble),TA-TABM (tuned + ensemble),0,0
XT (tuned + ensemble),TA-TABDPT (default),0,0
XT (tuned + ensemble),TA-TABPFN-2.6 (default),0,0
XT (tuned + ensemble),TA-TABICLv2 (default),0,0
CAT (tuned + ensemble),LR (tuned + ensemble),235/994,491/1988
CAT (tuned + ensemble),RF (tuned + ensemble),192/781,37/142
CAT (tuned + ensemble),XT (tuned + ensemble),147/781,43/213
CAT (tuned + ensemble),GBM (tuned + ensemble),1/213,47/1846
CAT (tuned + ensemble),XGB (tuned + ensemble),109/1562,149/1562
CAT (tuned + ensemble),TA-REALMLP (tuned + ensemble),0,0
CAT (tuned + ensemble),TA-TABM (tuned + ensemble),0,3/1207
CAT (tuned + ensemble),TA-TABDPT (default),2/71,148/1207
CAT (tuned + ensemble),TA-TABPFN-2.6 (default),0,0
CAT (tuned + ensemble),TA-TABICLv2 (default),0,0
GBM (tuned + ensemble),LR (tuned + ensemble),224/1065,469/2130
GBM (tuned + ensemble),RF (tuned + ensemble),377/1988,405/1988
GBM (tuned + ensemble),XT (tuned + ensemble),137/923,80/497
GBM (tuned + ensemble),CAT (tuned + ensemble),0,0
GBM (tuned + ensemble),XGB (tuned + ensemble),27/568,113/1420
GBM (tuned + ensemble),TA-REALMLP (tuned + ensemble),0,0
GBM (tuned + ensemble),TA-TABM (tuned + ensemble),0,0
GBM (tuned + ensemble),TA-TABDPT (default),23/1349,15/142
GBM (tuned + ensemble),TA-TABPFN-2.6 (default),0,0
